checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_000500.pt,500,0.07710239759482043,0.146290603620405,1.4637650349237628,0.4519880009936148,0.06211613491177559,0.02556717023253441,0.0001470380084356293,0.03640192747116089,figures\comparison_epoch_000500.png,grids\grid_epoch_000500.npz,cpu,torch.float32
checkpoint_epoch_001000.pt,1000,0.08886193197327948,0.13381810876521352,1.5635192433452878,0.48523357059990874,0.061891742050647736,0.0319552943110466,7.367929356405511e-05,0.029862768948078156,figures\comparison_epoch_001000.png,grids\grid_epoch_001000.npz,cpu,torch.float32
checkpoint_epoch_001500.pt,1500,0.018766517144764593,0.0740495532722051,1.1686141050391161,0.22298970040557078,0.028925206512212753,0.01226200070232153,0.00017669089720584452,0.0164865143597126,figures\comparison_epoch_001500.png,grids\grid_epoch_001500.npz,cpu,torch.float32
checkpoint_epoch_002000.pt,2000,0.02551333512702418,0.06776088782201964,1.6618311866408715,0.2600019354886367,0.022376900538802147,0.014554334804415703,5.46352457604371e-05,0.007767931092530489,figures\comparison_epoch_002000.png,grids\grid_epoch_002000.npz,cpu,torch.float32
checkpoint_epoch_002500.pt,2500,0.06249396879169503,0.08583524051816636,1.7977821076787757,0.40692279343772514,0.020038070157170296,0.009565383195877075,3.7917474401183426e-05,0.010434769093990326,figures\comparison_epoch_002500.png,grids\grid_epoch_002500.npz,cpu,torch.float32
checkpoint_epoch_003000.pt,3000,0.006469832196637454,0.035672609448008735,1.0983704716256606,0.13093009183490364,0.01912032626569271,0.015162364579737186,0.0001498461060691625,0.0038081149104982615,figures\comparison_epoch_003000.png,grids\grid_epoch_003000.npz,cpu,torch.float32
checkpoint_epoch_003500.pt,3500,0.054396181531005755,0.1307146675578762,1.4281290007418188,0.37964455136898956,0.07254281640052795,0.028495606034994125,0.0003588049439713359,0.04368840530514717,figures\comparison_epoch_003500.png,grids\grid_epoch_003500.npz,cpu,torch.float32
checkpoint_epoch_004000.pt,4000,0.03090040307999943,0.06961404375041297,1.681376196331775,0.286137669988447,0.022749051451683044,0.00987834483385086,0.00015529117081314325,0.0127154141664505,figures\comparison_epoch_004000.png,grids\grid_epoch_004000.npz,cpu,torch.float32
checkpoint_epoch_004500.pt,4500,0.02651006175983047,0.05753182009295157,1.7736183528125937,0.26503201217412914,0.01386270672082901,0.007672690786421299,0.0003648954734671861,0.005825120490044355,figures\comparison_epoch_004500.png,grids\grid_epoch_004500.npz,cpu,torch.float32
checkpoint_epoch_005000.pt,5000,0.02504224230889307,0.03887663697934931,1.835757960075489,0.2575903390935361,0.007600543554872274,0.004578840918838978,1.3788238902634475e-05,0.0030079144053161144,figures\comparison_epoch_005000.png,grids\grid_epoch_005000.npz,cpu,torch.float32
