total,pde,boundary,initial
5.108458995819091797e-01,1.018990576267242432e-02,2.367303892970085144e-02,4.769829511642456055e-01
3.870820999145507812e-01,4.014128819108009338e-03,3.065628744661808014e-02,3.524116873741149902e-01
3.662198483943939209e-01,1.509735360741615295e-02,3.885463625192642212e-02,3.122678697109222412e-01
3.587112724781036377e-01,2.892850153148174286e-02,5.945991724729537964e-02,2.703228592872619629e-01
3.406396508216857910e-01,4.976593703031539917e-02,7.219571620225906372e-02,2.186779975891113281e-01
3.095377087593078613e-01,6.889415532350540161e-02,6.636948883533477783e-02,1.742740422487258911e-01
3.113362491130828857e-01,7.186551392078399658e-02,5.784005299210548401e-02,1.816306859254837036e-01
3.035338521003723145e-01,6.885279715061187744e-02,3.928790986537933350e-02,1.953931450843811035e-01
2.852413058280944824e-01,6.570168584585189819e-02,2.965117059648036957e-02,1.898884475231170654e-01
2.554988265037536621e-01,5.819432809948921204e-02,2.980978786945343018e-02,1.674947142601013184e-01
2.354152500629425049e-01,5.424813926219940186e-02,2.686467580497264862e-02,1.543024331331253052e-01
2.374373823404312134e-01,5.012949928641319275e-02,2.449709177017211914e-02,1.628107875585556030e-01
2.470177412033081055e-01,4.253223538398742676e-02,2.172011882066726685e-02,1.827653944492340088e-01
2.341705709695816040e-01,6.399747729301452637e-02,2.465223148465156555e-02,1.455208659172058105e-01
2.113822400569915771e-01,6.371726840734481812e-02,2.331911958754062653e-02,1.243458464741706848e-01
2.170280218124389648e-01,7.058522105216979980e-02,1.883526146411895752e-02,1.276075392961502075e-01
2.053178995847702026e-01,5.403744429349899292e-02,1.443311199545860291e-02,1.368473470211029053e-01
2.188591212034225464e-01,5.582106858491897583e-02,1.166722923517227173e-02,1.513708233833312988e-01
1.895009279251098633e-01,5.910357087850570679e-02,1.195960305631160736e-02,1.184377595782279968e-01
1.730347722768783569e-01,5.188694596290588379e-02,1.571406424045562744e-02,1.054337620735168457e-01
1.790836751461029053e-01,5.123454332351684570e-02,1.743699610233306885e-02,1.104121357202529907e-01
1.711883842945098877e-01,4.743206501007080078e-02,1.873557642102241516e-02,1.050207465887069702e-01
1.710771024227142334e-01,5.269878357648849487e-02,2.057396061718463898e-02,9.780436009168624878e-02
1.462129056453704834e-01,4.662322252988815308e-02,1.278437953442335129e-02,8.680530637502670288e-02
1.614775955677032471e-01,4.942886531352996826e-02,9.042732417583465576e-03,1.030060052871704102e-01
1.348588466644287109e-01,5.327721685171127319e-02,7.926935330033302307e-03,7.365469634532928467e-02
1.591983437538146973e-01,6.080948933959007263e-02,1.336063072085380554e-02,8.502822369337081909e-02
