checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_000500.pt,500,0.02560010555181758,0.08961321919972687,1.1807254281718076,0.26044369131700384,0.03656440228223801,0.014453989453613758,0.0004964624531567097,0.021613948047161102,figures\comparison_epoch_000500.png,grids\grid_epoch_000500.npz,cuda:0,torch.float32
checkpoint_epoch_001000.pt,1000,0.016538107093976826,0.06862780945285213,1.213254150768782,0.2093321162755481,0.025433585047721863,0.013813897036015987,0.00020260107703506947,0.01141708716750145,figures\comparison_epoch_001000.png,grids\grid_epoch_001000.npz,cuda:0,torch.float32
checkpoint_epoch_001500.pt,1500,0.019126670253162243,0.04572033733091151,1.6934418654125873,0.22511925838638402,0.03616822883486748,0.03084074705839157,2.925196531577967e-05,0.00529822800308466,figures\comparison_epoch_001500.png,grids\grid_epoch_001500.npz,cuda:0,torch.float32
checkpoint_epoch_002000.pt,2000,0.14776281615193773,0.19935055343692035,1.5567943458369635,0.6257135269596276,0.08994799852371216,0.025868317112326622,0.004905956331640482,0.05917372554540634,figures\comparison_epoch_002000.png,grids\grid_epoch_002000.npz,cuda:0,torch.float32
checkpoint_epoch_002500.pt,2500,0.01763438254041372,0.041335562445867474,1.7287391608299405,0.21615888570512024,0.009145508520305157,0.005460340529680252,0.0001714413519948721,0.003513726405799389,figures\comparison_epoch_002500.png,grids\grid_epoch_002500.npz,cuda:0,torch.float32
checkpoint_epoch_003000.pt,3000,0.06468665788866479,0.07266326750375916,1.9009868542367032,0.41399998060292986,0.013694582507014275,0.005936626810580492,4.131138848606497e-05,0.007716643624007702,figures\comparison_epoch_003000.png,grids\grid_epoch_003000.npz,cuda:0,torch.float32
checkpoint_epoch_003500.pt,3500,0.017141071571424176,0.04019745814666877,1.6924049419505287,0.21311398413147106,0.01121662836521864,0.007528051733970642,0.00015045609325170517,0.0035381203051656485,figures\comparison_epoch_003500.png,grids\grid_epoch_003500.npz,cuda:0,torch.float32
checkpoint_epoch_004000.pt,4000,0.021403940248870174,0.043747799262904515,1.743016541238764,0.23814410146437295,0.009245438501238823,0.0042450870387256145,8.779666131886188e-06,0.004991572350263596,figures\comparison_epoch_004000.png,grids\grid_epoch_004000.npz,cuda:0,torch.float32
checkpoint_epoch_004500.pt,4500,0.03026813672012715,0.06285392236273904,1.7427029793801725,0.2831951475348946,0.01674538291990757,0.007387659512460232,0.0010498289484530687,0.008307894691824913,figures\comparison_epoch_004500.png,grids\grid_epoch_004500.npz,cuda:0,torch.float32
checkpoint_epoch_005000.pt,5000,0.026425755142891316,0.044491103235115015,1.8302702835419913,0.26461025259377613,0.012947016395628452,0.01015133410692215,3.918145375791937e-05,0.002756500616669655,figures\comparison_epoch_005000.png,grids\grid_epoch_005000.npz,cuda:0,torch.float32
checkpoint_epoch_005500.pt,5500,0.019196323003469858,0.03474736100758218,1.8036198617378512,0.2255287893128326,0.012582490220665932,0.009036490693688393,0.0004553459002636373,0.0030906538013368845,figures\comparison_epoch_005500.png,grids\grid_epoch_005500.npz,cuda:0,torch.float32
checkpoint_epoch_006000.pt,6000,0.006726095648593598,0.02808341504302477,1.3245761107695126,0.1334979152120076,0.006796615663915873,0.004816748201847076,3.371490311110392e-05,0.0019461526535451412,figures\comparison_epoch_006000.png,grids\grid_epoch_006000.npz,cuda:0,torch.float32
checkpoint_epoch_006500.pt,6500,0.01659777681067496,0.04084414229597939,1.7251611244622382,0.20970941282916944,0.014264773577451706,0.010588628239929676,0.0006445160834118724,0.003031629603356123,figures\comparison_epoch_006500.png,grids\grid_epoch_006500.npz,cuda:0,torch.float32
checkpoint_epoch_007000.pt,7000,0.00464185695522487,0.030448531756527328,1.0803922599526312,0.1109018626947161,0.002600624691694975,0.00118312519043684,4.534003892331384e-05,0.001372159575112164,figures\comparison_epoch_007000.png,grids\grid_epoch_007000.npz,cuda:0,torch.float32
checkpoint_epoch_007500.pt,7500,0.00287334564512939,0.019166346123346768,0.8466845958939753,0.08725431232427279,0.002138785319402814,0.0008919004467315972,5.1046394219156355e-05,0.0011958384420722723,figures\comparison_epoch_007500.png,grids\grid_epoch_007500.npz,cuda:0,torch.float32
checkpoint_epoch_008000.pt,8000,0.006702228325843055,0.03381665189671303,1.3136052823241005,0.13326084830232407,0.007103326264768839,0.0035199509002268314,1.610025719855912e-05,0.0035672751255333424,figures\comparison_epoch_008000.png,grids\grid_epoch_008000.npz,cuda:0,torch.float32
checkpoint_epoch_008500.pt,8500,0.0011887578076315364,0.017651220106463326,0.6042723340844088,0.05612284201787609,0.002915038727223873,0.0016992059536278248,5.5737611546646804e-05,0.0011600953293964267,figures\comparison_epoch_008500.png,grids\grid_epoch_008500.npz,cuda:0,torch.float32
checkpoint_epoch_009000.pt,9000,0.009272531212968843,0.025923345029543632,1.396569133184418,0.1567444296940659,0.0030458434484899044,0.0019050819100812078,9.506568312644958e-05,0.001045695971697569,figures\comparison_epoch_009000.png,grids\grid_epoch_009000.npz,cuda:0,torch.float32
checkpoint_epoch_009500.pt,9500,0.03737126944153455,0.045928723047351544,1.9619506602099799,0.3146747452418792,0.0037578241899609566,0.0013101508375257254,1.2235570466145873e-05,0.0024354378692805767,figures\comparison_epoch_009500.png,grids\grid_epoch_009500.npz,cuda:0,torch.float32
checkpoint_epoch_010000.pt,10000,0.03189568844050089,0.043815431108815694,1.8713773493521888,0.2907093193573137,0.004266534466296434,0.0017226481577381492,3.5052362363785505e-05,0.0025088340044021606,figures\comparison_epoch_010000.png,grids\grid_epoch_010000.npz,cuda:0,torch.float32
checkpoint_epoch_010500.pt,10500,0.001028697915431134,0.015976424224915,0.5419532850032159,0.05220798046784901,0.00355255464091897,0.0027532652020454407,9.880051948130131e-05,0.0007004888029769063,figures\comparison_epoch_010500.png,grids\grid_epoch_010500.npz,cuda:0,torch.float32
checkpoint_epoch_011000.pt,11000,0.022682511944682102,0.05006875066772779,1.8165407303989585,0.24515374851761973,0.006512261927127838,0.0019467652309685946,0.000784681411460042,0.0037808152846992016,figures\comparison_epoch_011000.png,grids\grid_epoch_011000.npz,cuda:0,torch.float32
checkpoint_epoch_011500.pt,11500,0.0015269586117918439,0.019296615813006405,0.7998892966646646,0.06360724666708907,0.002400002907961607,0.0015911113005131483,8.421442180406302e-05,0.0007246773457154632,figures\comparison_epoch_011500.png,grids\grid_epoch_011500.npz,cuda:0,torch.float32
checkpoint_epoch_012000.pt,12000,0.005431137030550331,0.03738625011642894,1.1920812964176337,0.11996052127958845,0.1052900105714798,0.09850094467401505,0.000723118195310235,0.0060659488663077354,figures\comparison_epoch_012000.png,grids\grid_epoch_012000.npz,cuda:0,torch.float32
checkpoint_epoch_012500.pt,12500,0.027245947085740956,0.0633215713342788,1.8622954716355444,0.2686853074453927,0.019915057346224785,0.004804571159183979,0.006505864206701517,0.008604621514678001,figures\comparison_epoch_012500.png,grids\grid_epoch_012500.npz,cuda:0,torch.float32
checkpoint_epoch_013000.pt,13000,0.0017748419211506123,0.016370989450160103,0.7121751194307605,0.06857610322714207,0.003244759514927864,0.0023063463158905506,8.350498683284968e-05,0.0008549083140678704,figures\comparison_epoch_013000.png,grids\grid_epoch_013000.npz,cuda:0,torch.float32
checkpoint_epoch_013500.pt,13500,0.0035145712268603102,0.03688917097986192,1.0261922482389902,0.09650040559155179,0.019658541306853294,0.01599077507853508,0.0011640791781246662,0.0025036875158548355,figures\comparison_epoch_013500.png,grids\grid_epoch_013500.npz,cuda:0,torch.float32
