checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_000500.pt,500,0.06162591556494529,0.1478871459740587,0.9117068882570083,0.4040867929827016,0.0849442183971405,0.04388296604156494,0.0006590933771803975,0.040402159094810486,figures\comparison_epoch_000500.png,grids\grid_epoch_000500.npz,cpu,torch.float32
checkpoint_epoch_001000.pt,1000,0.06538432881870654,0.14848413627781468,0.9412465049184097,0.41622656898285143,0.07157707959413528,0.024039799347519875,0.00027159464661963284,0.047265686094760895,figures\comparison_epoch_001000.png,grids\grid_epoch_001000.npz,cpu,torch.float32
checkpoint_epoch_001500.pt,1500,0.06268088761819801,0.150217259651618,0.932576389192086,0.4075308900474996,0.06919704377651215,0.02372986078262329,0.00034158292692154646,0.04512559995055199,figures\comparison_epoch_001500.png,grids\grid_epoch_001500.npz,cpu,torch.float32
checkpoint_epoch_002000.pt,2000,0.06156980999037773,0.14704046956775849,1.049443707657985,0.40390280639199916,0.07090236246585846,0.024723028764128685,0.0003363394644111395,0.04584299400448799,figures\comparison_epoch_002000.png,grids\grid_epoch_002000.npz,cpu,torch.float32
checkpoint_epoch_002500.pt,2500,0.05551363941590671,0.13435621618891655,0.9372936811231577,0.38352423660492296,0.05942375957965851,0.027085084468126297,0.0007420703768730164,0.031596604734659195,figures\comparison_epoch_002500.png,grids\grid_epoch_002500.npz,cpu,torch.float32
checkpoint_epoch_003000.pt,3000,0.06015068118939368,0.14041443032847148,1.2066235401101948,0.39922087212734475,0.060591161251068115,0.0224202461540699,0.00012299053196329623,0.038047924637794495,figures\comparison_epoch_003000.png,grids\grid_epoch_003000.npz,cpu,torch.float32
checkpoint_epoch_003500.pt,3500,0.051358265779174024,0.1250314664234516,1.1928793646760822,0.36889106762640733,0.05945613980293274,0.026974454522132874,0.0011359466006979346,0.03134573623538017,figures\comparison_epoch_003500.png,grids\grid_epoch_003500.npz,cpu,torch.float32
checkpoint_epoch_004000.pt,4000,0.054394639698893826,0.12975139500597793,1.2735083095197592,0.3796391709149591,0.06078054755926132,0.022763723507523537,0.00020760753250215203,0.03780921548604965,figures\comparison_epoch_004000.png,grids\grid_epoch_004000.npz,cpu,torch.float32
checkpoint_epoch_004500.pt,4500,0.07488821807364396,0.14234147973158823,1.4360554648185815,0.4454507685010999,0.05709650740027428,0.020437292754650116,6.416840915335342e-05,0.036595046520233154,figures\comparison_epoch_004500.png,grids\grid_epoch_004500.npz,cpu,torch.float32
checkpoint_epoch_005000.pt,5000,0.05476191590092755,0.12350362243587272,1.3977132725437398,0.38091868908639226,0.056021030992269516,0.024697601795196533,3.5528079024516046e-05,0.03128790110349655,figures\comparison_epoch_005000.png,grids\grid_epoch_005000.npz,cpu,torch.float32
checkpoint_epoch_005500.pt,5500,0.11314053963861725,0.1644643234080901,1.501231454553031,0.5475226464076111,0.07472628355026245,0.03359292447566986,8.028185220609885e-06,0.041125327348709106,figures\comparison_epoch_005500.png,grids\grid_epoch_005500.npz,cpu,torch.float32
checkpoint_epoch_006000.pt,6000,0.07665493246067308,0.14246825709727745,1.417281613929951,0.45067453233936366,0.061438873410224915,0.02254851721227169,0.0001741306041367352,0.03871622681617737,figures\comparison_epoch_006000.png,grids\grid_epoch_006000.npz,cpu,torch.float32
